nome_original;nome_novo;tipo;numero;orgao;cnpj;data;valor_principal;procedencia;estagio;score;confianca;caminho_original;caminho_novo;erro
SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09 - Anexo.pdf;SEDUC-Contrato-23---siged-01.0_revisar_623c06.pdf;OUTRO;;;;;;P2-PARCIAL;ocrmypdf;0.72;0.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\01_CONTRATOS\SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09 - Anexo.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\SEDUC-Contrato-23---siged-01.0_revisar_623c06.pdf;
SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09 completo.pdf;CONTRATO_0232021_SEDUC_2025-10-09_e21de6.pdf;CONTRATO;023/2021;SEDUC;03004228202509;2025-10-09;4362396.96;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\01_CONTRATOS\SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09 completo.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_0232021_SEDUC_2025-10-09_e21de6.pdf;
SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09.pdf;CONTRATO_0232021_SEDUC_a2446d.pdf;CONTRATO;023/2021;SEDUC;03004228202509;;4.36;P2-PARCIAL;ocrmypdf;0.9;0.9;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\01_CONTRATOS\SEDUC Contrato 23 - siged 01.05.016503.004228-2025-09.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_0232021_SEDUC_a2446d.pdf;
01.05.016503.001283_2023_85_Relatorio.pdf;CONTRATO_SEDUC_2023-02-28_3f7567.pdf;CONTRATO;;SEDUC;;2023-02-28;;P1-DOC;nativo;1.0;0.65;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\05_ACEITES\01.05.016503.001283_2023_85_Relatorio.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2023-02-28_3f7567.pdf;
relatorio SEDUC - Contartos 14 e 20 - SIGEAM.pdf;CONTRATO_142018_SEDUC_2025-11-24_f65f41.pdf;CONTRATO;14/2018;SEDUC;01038379202369;2025-11-24;;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\05_ACEITES\relatorio SEDUC - Contartos 14 e 20 - SIGEAM.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_142018_SEDUC_2025-11-24_f65f41.pdf;
relatorio SEDUC - pendências Exercícios 2023 a 2025.pdf;CONTRATO_SEDUC_2023-01-01_37f00a.pdf;CONTRATO;;SEDUC;01026464202384;2023-01-01;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\05_ACEITES\relatorio SEDUC - pendências Exercícios 2023 a 2025.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2023-01-01_37f00a.pdf;
01.01.028101.0006062024-64-OK.pdf;CONTRATO_232021_UEA_2023-12-28_8bb4ff.pdf;CONTRATO;23/2021;UEA;04407920000180;2023-12-28;1458649.43;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0006062024-64-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_232021_UEA_2023-12-28_8bb4ff.pdf;
01.01.028101.0201102023-26-OK.pdf;CONTRATO_232021_SEAP_1813-11-05_3ecb20.pdf;CONTRATO;23/2021;SEAP;04407920000180;1813-11-05;1449441.38;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_232021_SEAP_1813-11-05_3ecb20.pdf;
01.01.028101.0201102023-26-OK_parte001_pgs1-20.pdf;CONTRATO_232021_SEAP_2023-05-31_d1c4d9.pdf;CONTRATO;23/2021;SEAP;04407920000180;2023-05-31;1449441.38;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte001_pgs1-20.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_232021_SEAP_2023-05-31_d1c4d9.pdf;
01.01.028101.0201102023-26-OK_parte002_pgs21-40.pdf;OUTRO_SEAP_1813-11-05_79d7f1.pdf;OUTRO;;SEAP;99381410201648;1813-11-05;;P1-DOC;nativo;1.0;0.4;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte002_pgs21-40.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\OUTRO_SEAP_1813-11-05_79d7f1.pdf;
01.01.028101.0201102023-26-OK_parte003_pgs41-60.pdf;01.01.028101.0201102023-26-OK__revisar_8dfe7c.pdf;OUTRO;;;00773142851009;2023-05-15;;P1-DOC;nativo;1.0;0.25;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte003_pgs41-60.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_8dfe7c.pdf;
01.01.028101.0201102023-26-OK_parte004_pgs61-80.pdf;01.01.028101.0201102023-26-OK__revisar_e6ae08.pdf;OUTRO;;;30424000003205;2023-04-24;;P1-DOC;nativo;1.0;0.25;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte004_pgs61-80.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_e6ae08.pdf;
01.01.028101.0201102023-26-OK_parte005_pgs81-100.pdf;01.01.028101.0201102023-26-OK__revisar_647d11.pdf;OUTRO;;;;2023-05-04;;P1-DOC;nativo;1.0;0.1;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte005_pgs81-100.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_647d11.pdf;
01.01.028101.0201102023-26-OK_parte006_pgs101-120.pdf;01.01.028101.0201102023-26-OK__revisar_0a1235.pdf;OUTRO;;;;2023-05-04;;P1-DOC;nativo;1.0;0.1;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte006_pgs101-120.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_0a1235.pdf;
01.01.028101.0201102023-26-OK_parte007_pgs121-140.pdf;01.01.028101.0201102023-26-OK__revisar_9d06fb.pdf;OUTRO;;;89800514742144;2023-05-09;;P1-DOC;nativo;1.0;0.25;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte007_pgs121-140.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_9d06fb.pdf;
01.01.028101.0201102023-26-OK_parte008_pgs141-160.pdf;01.01.028101.0201102023-26-OK__revisar_0d1bcd.pdf;OUTRO;;;89800411389188;2013-09-05;;P1-DOC;nativo;1.0;0.25;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte008_pgs141-160.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_0d1bcd.pdf;
01.01.028101.0201102023-26-OK_parte009_pgs161-180.pdf;01.01.028101.0201102023-26-OK__revisar_1e2af5.pdf;OUTRO;;;;2005-01-05;;P1-DOC;nativo;1.0;0.1;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0201102023-26-OK_parte009_pgs161-180.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0201102023-26-OK__revisar_1e2af5.pdf;
